job_id	job_name	state	exit_code	submit	start	end	elapsed	node_list
8221149	adp-qwen35-4b-16k	TIMEOUT	0:0	2026-05-30T19:56:28	2026-05-30T19:56:45	2026-06-01T19:56:59	2-00:00:14	babel-t5-28
8221151	adp-qwen35-4b-32k	CANCELLED by 17414	0:0	2026-05-30T19:56:38	2026-05-30T19:59:49	2026-06-01T06:47:00	1-10:47:11	babel-p9-24
8234742	adp-swe-play-trajectories	COMPLETED	0:0	2026-06-01T17:34:18	2026-06-01T17:34:40	2026-06-01T17:34:50	00:00:10	babel-s9-16
8234743	adp-mini-coder	CANCELLED by 17414	0:0	2026-06-01T17:34:18	2026-06-01T17:34:40	2026-06-01T17:36:51	00:02:11	babel-x9-24
8234744	adp-coderforge_preview	CANCELLED by 17414	0:0	2026-06-01T17:34:18	2026-06-01T17:35:17	2026-06-01T17:36:51	00:01:34	babel-s9-16
8234745	adp-nebius_SWE-rebench-openh	CANCELLED by 17414	0:0	2026-06-01T17:34:18	2026-06-01T17:35:52	2026-06-01T17:36:51	00:00:59	babel-w5-20
8234746	adp-kwai-klear_swe-smith-min	CANCELLED by 17414	0:0	2026-06-01T17:34:18	2026-06-01T17:36:26	2026-06-01T17:36:51	00:00:25	babel-w9-28
8234747	adp-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-01T17:34:18	None	2026-06-01T17:36:51	00:00:00	None assigned
8234748	adp-scale_swe_distilled	CANCELLED by 17414	0:0	2026-06-01T17:34:18	None	2026-06-01T17:36:51	00:00:00	None assigned
8234764	adp-cond-swe-play-trajectori	FAILED	1:0	2026-06-01T17:37:48	2026-06-01T17:38:07	2026-06-01T17:38:12	00:00:05	babel-s9-16
8234765	adp-cond-mini-coder	FAILED	1:0	2026-06-01T17:37:48	2026-06-01T17:38:07	2026-06-01T17:41:47	00:03:40	babel-w9-28
8234766	adp-cond-coderforge_preview	FAILED	1:0	2026-06-01T17:37:48	2026-06-01T17:38:07	2026-06-01T17:43:14	00:05:07	babel-x9-24
8234767	adp-cond-nebius_SWE-rebench-	FAILED	1:0	2026-06-01T17:37:48	2026-06-01T17:38:07	2026-06-01T17:45:08	00:07:01	babel-u9-32
8234768	adp-cond-kwai-klear_swe-smit	FAILED	1:0	2026-06-01T17:37:48	2026-06-01T17:38:41	2026-06-01T17:41:53	00:03:12	babel-s9-16
8234769	adp-cond-logicstar_swe-star	FAILED	1:0	2026-06-01T17:37:48	2026-06-01T17:40:22	2026-06-01T18:02:15	00:21:53	babel-v5-20
8234770	adp-cond-scale_swe_distilled	FAILED	1:0	2026-06-01T17:37:48	2026-06-01T17:40:22	2026-06-01T17:57:01	00:16:39	babel-w5-20
8234979	adp-cond-swe-play-trajectori	FAILED	1:0	2026-06-01T18:15:27	2026-06-01T18:15:34	2026-06-01T18:15:43	00:00:09	babel-m5-32
8234980	adp-cond-mini-coder	FAILED	1:0	2026-06-01T18:15:27	2026-06-01T18:15:34	2026-06-01T18:19:22	00:03:48	babel-s9-16
8234981	adp-cond-coderforge_preview	FAILED	1:0	2026-06-01T18:15:27	2026-06-01T18:15:34	2026-06-01T18:19:46	00:04:12	babel-u5-24
8234982	adp-cond-nebius_SWE-rebench-	FAILED	1:0	2026-06-01T18:15:27	2026-06-01T18:15:34	2026-06-01T18:20:21	00:04:47	babel-w9-28
8234983	adp-cond-kwai-klear_swe-smit	FAILED	1:0	2026-06-01T18:15:27	2026-06-01T18:16:07	2026-06-01T18:19:26	00:03:19	babel-m5-32
8234984	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-01T18:15:27	2026-06-01T18:16:07	2026-06-01T18:24:45	00:08:38	babel-v9-16
8234985	adp-cond-scale_swe_distilled	CANCELLED by 17414	0:0	2026-06-01T18:15:27	2026-06-01T18:18:23	2026-06-01T18:24:45	00:06:22	babel-t9-24
8235027	adp-cond-hybrid-gym	FAILED	1:0	2026-06-01T18:26:57	2026-06-01T18:27:25	2026-06-01T18:27:43	00:00:18	babel-q9-16
8235028	adp-cond-nvidia_SWE-Zero-ope	CANCELLED by 17414	0:0	2026-06-01T18:26:57	2026-06-01T18:27:25	2026-06-01T18:45:52	00:18:27	babel-w9-28
8235029	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-01T18:26:57	2026-06-01T18:27:59	2026-06-01T18:28:00	00:00:01	babel-q9-16
8235030	adp-cond-allenai_Sera-4.6-Li	FAILED	1:0	2026-06-01T18:26:57	2026-06-01T18:28:33	2026-06-01T18:41:28	00:12:55	babel-q9-16
8235033	adp-cond-swe-play-trajectori	FAILED	1:0	2026-06-01T18:27:14	2026-06-01T18:28:33	2026-06-01T18:28:42	00:00:09	babel-u5-24
8235034	adp-cond-mini-coder	FAILED	1:0	2026-06-01T18:27:14	2026-06-01T18:28:33	2026-06-01T18:32:33	00:04:00	babel-x5-24
8235035	adp-cond-coderforge_preview	FAILED	1:0	2026-06-01T18:27:14	2026-06-01T18:29:07	2026-06-01T18:33:33	00:04:26	babel-m5-32
8235036	adp-cond-nebius_SWE-rebench-	FAILED	1:0	2026-06-01T18:27:14	2026-06-01T18:29:07	2026-06-01T18:33:57	00:04:50	babel-u5-24
8235037	adp-cond-kwai-klear_swe-smit	FAILED	1:0	2026-06-01T18:27:14	2026-06-01T18:29:40	2026-06-01T18:33:09	00:03:29	babel-v9-16
8235038	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-01T18:27:14	2026-06-01T18:31:22	2026-06-01T18:45:52	00:14:30	babel-p5-20
8235039	adp-cond-scale_swe_distilled	FAILED	1:0	2026-06-01T18:27:14	2026-06-01T18:33:02	2026-06-01T18:33:27	00:00:25	babel-t9-24
8235144	adp-cond-swe-play-trajectori	FAILED	1:0	2026-06-01T18:45:52	2026-06-01T18:46:19	2026-06-01T18:46:28	00:00:09	babel-m5-32
